Latitude,Longitude,Soil information recorded in the paper,Sowing year,Crop growing season recorded in the paper,N input rates with the unit kg N ha-1 (details),Sowing month,Harvesting month,E,Tmax,Tmin,Crop_barley.winter,Crop_cotton,Crop_maize,Crop_rice,Crop_sorghum,Crop_soybean,Crop_sunflower,Crop_wheat.spring,Crop_wheat.winter,Crop sequence (details)_1,N input_No,N input_Yes,ST_Silt loam,Initial year of NT practice ( or first year of experiment if missing),Years since NT started (yrs),Residue management of previous crop in NT (details),Water applied in NT,Fertilization NT_No,Fertilization NT_Yes,Irrigation NT_No,Irrigation NT_Yes,Yield of NT
30.9,75.8,110,2006,12,62,12,5,553.9888433,39.39245999,5.029379568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2004,3,91,30,0.0,1.0,0.0,1.0,4600.0
30.9,75.8,110,2006,29,41,12,5,553.9888433,39.39245999,5.029379568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2004,3,91,30,0.0,1.0,0.0,1.0,4100.0
30.9,75.8,110,2006,29,62,12,5,553.9888433,39.39245999,5.029379568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2004,3,91,30,0.0,1.0,0.0,1.0,4500.0
55.72,-118.68,91,1991,73,0,5,9,399.473,23.87368,4.13202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1989,3,109,0,0.0,1.0,0.0,1.0,2151.0
55.72,-118.68,91,1994,73,0,5,9,403.232,23.10267,3.78969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1989,6,109,0,0.0,1.0,0.0,1.0,2840.0
55.72,-118.68,91,1994,73,0,5,9,403.232,23.10267,3.78969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1989,6,109,0,0.0,1.0,0.0,1.0,3247.0
55.72,-118.68,91,1989,56,206,5,9,395.063,22.77721,3.27449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1989,1,109,0,0.0,1.0,0.0,1.0,1090.0
55.72,-118.68,91,1990,56,206,5,9,407.789,23.99237,3.91459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1989,2,109,0,0.0,1.0,0.0,1.0,960.0
55.2,-119.38,117,1993,73,0,5,9,360.521,19.63982,2.31763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1992,2,109,0,0.0,1.0,0.0,1.0,3132.0
55.2,-119.38,117,1994,73,0,5,9,381.367,22.28035,2.28527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1992,3,109,0,0.0,1.0,0.0,1.0,2870.0
