Latitude,Longitude,Soil information recorded in the paper,Sowing year,Crop growing season recorded in the paper,N input rates with the unit kg N ha-1 (details),Relative yield change,Sowing month,Harvesting month,E,PB,Tmax,Tmin,Crop_barley.winter,Crop_cotton,Crop_maize,Crop_rice,Crop_sorghum,Crop_soybean,Crop_sunflower,Crop_wheat.spring,Crop_wheat.winter,Crop sequence (details)_1,N input_No,N input_Yes,ST_Clay loam,ST_Silt loam,Water applied in CT,Fertilization CT _No,Fertilization CT _Yes,Irrigation CT_No,Irrigation CT_Yes,Yield of CT
45.42,-73.93,92,2002,73,0,-0.0826,6,10,411.484,15.716,26.54872,0.79462,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,2420.0
45.42,-73.93,92,2003,73,0,-0.0455,6,10,399.759,110.241,26.13306,2.31443,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,3300.0
40.15,-103.15,117,1993,127,0,0.4996,9,7,634.618,-267.318,31.06044,-8.83371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,2234.0
40.15,-103.15,117,1994,127,0,0.1472,9,7,621.364,-52.964,30.24864,-7.21116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,1461.0
40.15,-103.15,117,1995,127,0,0.2073,9,7,647.94,-161.339,29.22616,-11.65825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,1983.0
40.15,-103.15,117,1996,127,0,0.9216,9,7,638.728,-182.728,31.15953,-9.91188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,1608.0
40.15,-103.15,117,1997,127,0,0.6078,9,7,646.077,-226.377,29.86537,-7.93096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,1874.0
40.15,-103.15,117,1998,127,0,0.2323,9,7,653.766,-144.466,31.38359,-10.10253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,1412.0
40.15,-103.15,117,1999,127,0,0.3259,9,7,659.437,-325.837,32.59679,-7.97563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,2062.0
40.15,-103.15,117,2000,127,0,0.4583,9,7,645.468,-162.068,32.95001,-10.75148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,1294.0
40.15,-103.15,117,2001,127,0,0.1233,9,7,637.921,-372.621,33.58311,-9.86405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,3058.0
40.15,-103.15,117,2002,127,0,0.2679,9,7,644.107,-197.907,34.55946,-9.66341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,1452.0
