Crop growing season recorded in the paper,Crop sequence (details)_1,Crop_barley.winter,Crop_cotton,Crop_maize,Crop_rice,Crop_sorghum,Crop_soybean,Crop_sunflower,Crop_wheat.spring,Crop_wheat.winter,E,Fertilization CT _No,Fertilization CT _Yes,Fertilization NT_No,Fertilization NT_Yes,Harvest year,Harvesting month,Initial year of NT practice ( or first year of experiment if missing),Irrigation CT_No,Irrigation CT_Yes,Irrigation NT_No,Irrigation NT_Yes,Journal,Latitude,Longitude,N input rates with the unit kg N ha-1 (details),N input_No,N input_Yes,PB,Relative yield change,Residue management of previous crop in NT (details),ST_Clay loam,ST_Silt loam,Soil cover in NT_No,Soil cover in NT_Yes,Soil information recorded in the paper,Sowing month,Sowing year,Tmax,Tmin,Water applied in CT,Water applied in NT,Year,Years since NT started (yrs),Yield increase with NT_Yes,Yield of CT,Yield of NT
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,646.077,0.0,1.0,0.0,1.0,1997,7,1992,1.0,0.0,1.0,0.0,17,40.15,-103.15,0,0.0,1.0,-226.377,0.6078,109,0.0,0.0,0.0,1.0,117,9,1997,29.86537,-7.93096,0,0,22,6,1.0,1874.0,3013.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,653.766,0.0,1.0,0.0,1.0,1998,7,1992,1.0,0.0,1.0,0.0,17,40.15,-103.15,0,0.0,1.0,-144.466,0.2323,109,0.0,0.0,0.0,1.0,117,9,1998,31.38359,-10.10253,0,0,22,7,1.0,1412.0,1740.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,659.437,0.0,1.0,0.0,1.0,1999,7,1992,1.0,0.0,1.0,0.0,17,40.15,-103.15,0,0.0,1.0,-325.837,0.3259,109,0.0,0.0,0.0,1.0,117,9,1999,32.59679,-7.97563,0,0,22,8,1.0,2062.0,2734.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,645.468,0.0,1.0,0.0,1.0,2000,7,1992,1.0,0.0,1.0,0.0,17,40.15,-103.15,0,0.0,1.0,-162.068,0.4583,109,0.0,0.0,0.0,1.0,117,9,2000,32.95001,-10.75148,0,0,22,9,1.0,1294.0,1887.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,637.921,0.0,1.0,0.0,1.0,2001,7,1992,1.0,0.0,1.0,0.0,17,40.15,-103.15,0,0.0,1.0,-372.621,0.1233,109,0.0,0.0,0.0,1.0,117,9,2001,33.58311,-9.86405,0,0,22,10,1.0,3058.0,3435.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,644.107,0.0,1.0,0.0,1.0,2002,7,1992,1.0,0.0,1.0,0.0,17,40.15,-103.15,0,0.0,1.0,-197.907,0.2679,109,0.0,0.0,0.0,1.0,117,9,2002,34.55946,-9.66341,0,0,22,11,1.0,1452.0,1841.0
75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,463.279,0.0,1.0,0.0,1.0,1996,10,1995,0.0,1.0,0.0,1.0,7,42.94,-92.57,0,0.0,1.0,69.321,-0.0118,51,0.0,0.0,0.0,1.0,59,5,1996,27.33077,3.66085,0,0,17,2,0.0,3571.0,3529.0
75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,463.279,0.0,1.0,0.0,1.0,1996,10,1995,0.0,1.0,0.0,1.0,7,42.94,-92.57,0,0.0,1.0,69.321,-0.0431,51,0.0,0.0,0.0,1.0,59,5,1996,27.33077,3.66085,0,0,17,2,0.0,3688.0,3529.0
75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,494.706,0.0,1.0,0.0,1.0,1997,10,1995,0.0,1.0,0.0,1.0,7,42.94,-92.57,0,0.0,1.0,-37.206,-0.0101,51,0.0,0.0,0.0,1.0,59,5,1997,28.0141,4.40098,0,0,17,3,0.0,2873.0,2844.0
75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,494.706,0.0,1.0,0.0,1.0,1997,10,1995,0.0,1.0,0.0,1.0,7,42.94,-92.57,0,0.0,1.0,-37.206,-0.0018,51,0.0,0.0,0.0,1.0,59,5,1997,28.0141,4.40098,0,0,17,3,0.0,2849.0,2844.0
75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,502.598,0.0,1.0,0.0,1.0,1995,10,1995,0.0,1.0,0.0,1.0,7,42.94,-92.57,0,0.0,1.0,-64.498,0.0539,51,0.0,0.0,0.0,1.0,59,5,1995,30.40158,3.53012,0,0,17,1,1.0,2281.0,2404.0
75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,502.598,0.0,1.0,0.0,1.0,1995,10,1995,0.0,1.0,0.0,1.0,7,42.94,-92.57,0,0.0,1.0,-64.498,0.0732,51,0.0,0.0,0.0,1.0,59,5,1995,30.40158,3.53012,0,0,17,1,1.0,2240.0,2404.0
73,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,541.433,0.0,1.0,0.0,1.0,2005,10,2003,0.0,1.0,0.0,1.0,110,44.31,-96.79,42,0.0,1.0,-37.933,-0.123,167,0.0,0.0,0.0,1.0,92,5,2005,29.15936,3.41993,0,0,26,3,0.0,8659.0,7594.0
73,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,541.433,0.0,1.0,0.0,1.0,2005,10,2003,0.0,1.0,0.0,1.0,110,44.31,-96.79,42,0.0,1.0,-37.933,0.1625,167,0.0,0.0,0.0,1.0,92,5,2005,29.15936,3.41993,0,0,26,3,1.0,3845.0,4470.0
73,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,542.5349577,0.0,1.0,0.0,1.0,2006,10,2003,0.0,1.0,0.0,1.0,110,44.31,-96.79,42,0.0,1.0,-170.335,0.0501,167,0.0,0.0,0.0,1.0,92,5,2006,31.3676935,0.722333847,0,0,26,4,1.0,8442.0,8865.0
73,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,542.5349577,0.0,1.0,0.0,1.0,2006,10,2003,0.0,1.0,0.0,1.0,110,44.31,-96.79,42,0.0,1.0,-170.335,0.5216,167,0.0,0.0,0.0,1.0,92,5,2006,31.3676935,0.722333847,0,0,26,4,1.0,4893.0,7445.0
24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.439,0.0,0.0,0.0,0.0,1997,6,1996,1.0,0.0,1.0,0.0,100,41.8,1.12,222,0.0,0.0,-139.239,-0.0774,109,0.0,0.0,0.0,1.0,86,12,1996,25.40583,2.79712,0,0,23,1,0.0,3358.0,3098.0
24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.803,0.0,0.0,0.0,0.0,1998,6,1996,1.0,0.0,1.0,0.0,100,41.8,1.12,222,0.0,0.0,-281.703,-0.0417,144,0.0,0.0,0.0,1.0,86,12,1997,28.46006,2.45313,0,0,23,2,0.0,4767.0,4568.0
